,Compound,left,right,TRAN,LMD
122,crossword,cross,word,4.571428571428571,6.6
123,crybaby,cry,baby,5.333333333333333,5.266666666666667
124,cupboard,cup,board,3.0,5.133333333333334
125,cupcake,cup,cake,4.8,7.066666666666666
126,curbside,curb,side,6.0,3.9285714285714284
127,daredevil,dare,devil,3.7142857142857144,3.066666666666667
128,daresay,dare,say,4.181818181818182,4.785714285714286
129,darkroom,dark,room,5.785714285714286,5.266666666666667
130,dartboard,dart,board,5.933333333333334,5.333333333333333
131,dashboard,dash,board,3.642857142857143,7.933333333333334
132,dateline,date,line,2.6,4.533333333333333
133,dimwit,dim,wit,5.666666666666667,3.533333333333333
134,dipstick,dip,stick,3.3333333333333335,5.384615384615385
135,dockyard,dock,yard,5.230769230769231,2.8
136,dovetail,dove,tail,3.3333333333333335,5.909090909090909
137,drainpipe,drain,pipe,5.857142857142857,5.866666666666666
138,drawback,draw,back,2.1333333333333333,6.4
139,drawbridge,draw,bridge,4.153846153846154,8.133333333333333
140,drawstring,draw,string,3.8666666666666667,6.933333333333334
141,driftwood,drift,wood,4.666666666666667,6.533333333333333
142,dropout,drop,out,4.333333333333333,4.733333333333333
143,drugstore,drug,store,6.2,5.066666666666666
144,dunghill,dung,hill,4.533333333333333,4.636363636363637
145,eastbound,east,bound,5.933333333333334,3.466666666666667
146,edgewise,edge,wise,2.8181818181818183,2.8181818181818183
147,elsewhere,else,where,4.6,3.533333333333333
148,eyeball,eye,ball,5.8,3.466666666666667
149,eyebrow,eye,brow,5.142857142857143,4.733333333333333
150,eyelash,eye,lash,5.071428571428571,4.333333333333333
151,eyeless,eye,less,4.384615384615385,3.6666666666666665
152,eyelid,eye,lid,6.0,4.4
153,eyesight,eye,sight,6.266666666666667,5.0
154,eyesore,eye,sore,5.0,5.8
155,eyestrain,eye,strain,5.285714285714286,6.066666666666666
156,eyewash,eye,wash,6.133333333333334,5.133333333333334
157,eyewitness,eye,witness,6.266666666666667,7.066666666666666
158,faceless,face,less,3.857142857142857,3.1333333333333333
159,fallout,fall,out,3.357142857142857,3.933333333333333
160,falsehood,false,hood,2.857142857142857,1.6666666666666667
161,fanfare,fan,fare,3.8666666666666667,5.142857142857143
162,farewell,fare,well,3.4,4.4
163,fatherhood,father,hood,3.857142857142857,1.4
164,feedback,feed,back,3.0,5.866666666666666
165,fellowship,fellow,ship,3.0714285714285716,2.0
166,ferryman,ferry,man,5.6,5.571428571428571
167,figurehead,figure,head,3.7333333333333334,3.7333333333333334
168,filmstrip,film,strip,5.642857142857143,3.769230769230769
169,fireball,fire,ball,5.214285714285714,4.866666666666666
170,firefly,fire,fly,4.2,7.0
171,firelight,fire,light,5.214285714285714,5.428571428571429
172,fireplace,fire,place,5.857142857142857,3.933333333333333
173,firepower,fire,power,4.928571428571429,5.666666666666667
174,fireproof,fire,proof,4.785714285714286,4.2
175,fireside,fire,side,4.538461538461538,4.714285714285714
176,firewood,fire,wood,6.333333333333333,5.733333333333333
177,firsthand,first,hand,3.466666666666667,3.2857142857142856
178,flapjack,flap,jack,1.7857142857142858,4.769230769230769
179,folklore,folk,lore,3.8666666666666667,5.0
180,folktale,folk,tale,5.266666666666667,6.333333333333333
181,foolhardy,fool,hardy,2.8461538461538463,3.3846153846153846
182,foolproof,fool,proof,4.285714285714286,5.266666666666667
183,foothill,foot,hill,3.3333333333333335,6.733333333333333
